véritable,genuine,Ce tableau est un véritable chef-d'œuvre de l'art contemporain.
lendemain,the next day,Nous avons décidé de partir en excursion le lendemain de la réunion.
rassurer,to reassure,Je rassure mes amis que tout ira bien.
traitement,treatment,Le traitement de cette maladie nécessite de la patience.
centaine,hundred,Il y avait une centaine de personnes à la soirée.
délicieux,delicious,Ce gâteau est délicieux.
complet,complete,Le train est complet à l'heure de pointe.
masque,mask,Je porte un masque pendant le carnaval.
couloir,corridor,Je traverse le couloir chaque matin pour aller en classe.
qualité,quality,La qualité de ce produit est exceptionnelle.
croix,cross,"Dans l'église, une grande croix en bois pend au-dessus de l'autel."
fuite,leak,La fuite d'eau dans la salle de bain a endommagé le plancher.
contenter,"to please, to satisfy",Je me contente de ce que j'ai.
effacer,erase,Je efface les erreurs de mon document.
suggérer,to suggest,Je suggère que nous essayions ce nouveau restaurant ce soir.
cruel,cruel,Il est cruel envers ceux qui le trahissent.
foyer,home,Le foyer social de la ville organise des ateliers pour les habitants.
briller,shine,Je brille de mille feux.
cesse,stops,Je cesse de fumer depuis deux ans.
croiser,to cross,Je croise souvent mon voisin quand je rentre chez moi.
envoler,to take off,Je m'envole vers une nouvelle aventure.
suivant,following,Le chapitre suivant explique les règles de grammaire.
produit,Product,Ce produit est très populaire auprès des consommateurs.
essai,test,J'ai effectué un essai du nouveau logiciel ce matin.
moche,ugly,Ce pull est vraiment moche.
jeunesse,Youth,La jeunesse d'aujourd'hui apporte de nouvelles idées pour l'avenir.
noble,noble,Il est issu d'une famille noble.
courageux,courageous,Il est courageux face aux défis de la vie.
job,job,J'ai trouvé un job passionnant en ville.
totalement,totally,Je suis totalement d'accord avec cette décision.
crâne,Skull,Le crâne humain est étudié en médecine.
voeu,wish,Il a formulé son voeu en regardant les étoiles.
événement,event,L'événement a rassemblé la communauté entière.
partenaire,partner,Mon partenaire et moi avons réussi ce projet.
raser,to shave,Je me rase tous les matins.
étouffer,to suffocate,Je m'étouffe parfois quand je mange trop vite.
joueur,player,Le joueur a marqué un but incroyable lors du dernier match.
entreprise,company,L'entreprise ouvre de nouvelles filiales à l'international.
tarder,to delay,Je tarde à partir car je dois vérifier quelques détails.
miroir,mirror,Le miroir reflète la lumière de la lune.
souffler,to blow,Je souffle fort pour éteindre la bougie.
décrire,to describe,Je décris les détails de la peinture.
vengeance,Revenge,Sa soif de vengeance l'a poussé à agir sans réfléchir.
prise,capture,La prise de la forteresse a marqué un tournant décisif pendant la guerre.
raisonnable,reasonable,Je trouve que cette solution est raisonnable.
pause,break,Je prends une pause de dix minutes après le déjeuner.
soi,oneself,Il est important de penser à soi de temps en temps.
évidemment,obviously,"Évidemment, je comprends vos préoccupations."
crédit,credit,Je demande un crédit pour financer l'achat de ma nouvelle voiture.
