pièce,room,La pièce est lumineuse et spacieuse.
quatre,four,Il y a quatre saisons dans l'année.
cul,ass,Je me suis fait mal au cul en tombant de mon vélo.
difficile,difficult,Cet exercice est difficile à comprendre.
bras,arm,Je me suis foulé le bras en faisant du sport hier.
tromper,deceive,"Je ne trompe jamais mes amis, car je valorise l'honnêteté."
surtout,especially,J'aime surtout lire des romans pendant mon temps libre.
ressembler,to resemble,Je ressemble beaucoup à mon père.
jurer,to swear,Je jure de toujours tenir mes promesses.
plan,plan,Je consulte le plan de la ville pour mieux m'orienter.
prison,prison,La prison se trouve au cœur de la ville.
sale,dirty,La voiture est sale.
courir,run,Je cours chaque matin pour rester en forme.
état,state,L'état de santé de mon grand-père s'améliore chaque jour.
remettre,to put back,Je remets le livre sur l'étagère.
carte,card,J'ai utilisé ma carte pour payer mon café ce matin.
paix,peace,La paix règne dans notre ville.
noir,black,Je porte un manteau noir aujourd'hui.
exactement,exactly,C'est exactement ce que je cherchais.
drôle,funny,Je trouve ce film vraiment drôle.
refuser,to refuse,Je refuse l'invitation.
dès,as soon as,"Dès que je suis arrivé, j'ai commencé à travailler."
président,president,Le président a annoncé un nouveau plan économique lors de la conférence.
cours,run,Je cours tous les matins dans le parc.
grave,serious,La situation est vraiment grave.
terminer,to finish,Je termine mon travail.
ciel,sky,Le ciel est très bleu aujourd'hui.
partout,everywhere,J'ai cherché mes clés partout avant de partir.
âme,soul,Je crois que chaque âme recèle un univers de sentiments.
patron,boss,Mon patron m’a félicité pour mon travail exceptionnel.
amuser,to amuse,Je m'amuse beaucoup en regardant cette comédie.
celle,that one,Je préfère celle qui porte la robe rouge.
visage,face,J'ai remarqué un sourire chaleureux sur son visage.
intéresser,to interest,Je m'intéresse beaucoup à la littérature française.
reconnaître,to recognize,Je reconnais le talent de mes collègues.
rire,to laugh,Je ris quand j'entends une bonne blague.
médecin,doctor,Le médecin a examiné son patient avec beaucoup de soin.
rapport,report,Le rapport annuel de l'entreprise a été publié hier.
pardonner,to forgive,Je te pardonne si tu montres de vrais remords.
avis,opinion,J'ai un avis sur ce sujet.
embrasser,to kiss,Je t'embrasse tendrement.
retour,return,Le retour à la maison après de longues vacances a été rempli d'émotion.
simple,simple,Cette explication est simple à comprendre.
danser,to dance,Je danse chaque week-end pour me divertir.
exister,exist,J'existe pour apprendre et partager mes connaissances.
différent,different,Je trouve cet avis différent des autres.
souvent,often,Je vais souvent au marché le samedi matin.
lumière,light,La lumière naturelle illumine toute la maison.
génial,great,Je trouve ce film génial.
libre,free,Je suis libre cet après-midi pour discuter de nos projets.
près,near,Je suis près de la gare.
dollar,dollar,Le dollar est la monnaie officielle des États-Unis.
sûrement,surely,Il va sûrement faire beau demain.
pareil,similar,Cette robe est pareille à celle que j'ai vue hier.
d'autres,others,Je recherche d'autres idées pour améliorer mon projet.
hôpital,hospital,Je vais à l'hôpital ce matin pour une consultation.
ceci,this,Ceci est un exemple simple de démonstration.
réussir,to succeed,Je réussis toujours à atteindre mes objectifs.
bizarre,weird,La situation est très bizarre aujourd'hui.
voix,voice,Sa voix résonne dans la salle de concert.
protéger,protect,Je protège mes proches des dangers de la ville.
honneur,honor,Je suis fier d'accepter cet honneur lors de la cérémonie.
tôt,early,Je me lève tôt pour aller travailler.
équipe,team,Mon équipe a remporté le championnat cette année.
prévenir,to warn,Je vous préviens que le train part bientôt.
cheval,horse,Le cheval galope dans le pré.
ailleurs,elsewhere,Je vais ailleurs ce soir pour découvrir de nouveaux endroits.
maître,Master,Le maître d'école a expliqué la leçon aux élèves.
avion,airplane,L'avion décolle à l'aube chaque jour.
bout,end,"Au bout de la rue, vous trouverez un charmant café."
habiter,to live,J'habite à Paris.
faim,hunger,J'ai faim.
ensuite,then,"Je vais étudier mes leçons, ensuite je prendrai un café."
l'un,one,L'un de mes amis m'a aidé à préparer le dîner.
froid,cold,Il fait froid aujourd'hui.
normal,normal,"Dans notre vie quotidienne, il est normal de rencontrer des défis."
déranger,disturb,Je ne veux pas te déranger pendant que tu travailles.
reprendre,to resume,Je reprends le travail après la pause.
oncle,Uncle,Mon oncle m'a invité à dîner ce soir.
prix,price,Le prix de ce produit est très abordable.
retard,delay,Le retard du train a causé des désagréments importants pour mon voyage.
détruire,to destroy,Je détruis le pont pour reconstruire une nouvelle structure.
cadeau,gift,Je donne un cadeau à mon ami.
pousser,to push,Je pousse la porte pour entrer dans la pièce.
face,face,Je me suis cogné en pleine face en descendant les escaliers.
gueule,muzzle,La gueule du lion était impressionnante.
chemin,Path,"""Je marche sur le chemin qui mène à la rivière."""
vivant,living,La forêt est pleine d’êtres vivants.
général,general,L'opinion générale des citoyens était favorable aux nouvelles mesures.
bateau,boat,Ce bateau navigue sur la mer.
million,million,Ce roman a été vendu à plus d'un million d'exemplaires.
sac,bag,Je prends toujours mon sac avant de quitter la maison.
impossible,impossible,Il est impossible de terminer ce projet en une seule journée.
seconde,second,J'ai attendu une seconde avant de répondre.
découvrir,to discover,Je découvre un nouveau restaurant ce soir.
erreur,error,J'ai commis une erreur en remplissant le formulaire.
soleil,sun,Le soleil brille dans le ciel.
voyage,journey,Le voyage que j'ai entrepris l'été dernier était inoubliable.
sauter,to jump,Je saute par-dessus la barrière.
rêver,to dream,Je rêve d'aventures extraordinaires.
détester,to hate,Je déteste ce film.
