leur,their,Leur maison est grande.
vieux,old,Le vieux château domine la vallée depuis des siècles.
rappeler,to remind,Je te rappelle que notre réunion commence à 9 heures.
lire,to read,Je lis un livre captivant.
cas,case,"Dans ce cas, nous devons réévaluer notre stratégie."
mot,word,J'ai trouvé un mot qui résume parfaitement mes émotions.
seulement,only,Je mange seulement des fruits.
voici,here is,Voici mon nouveau livre.
salut,Hi,"Salut, comment ça va aujourd'hui ?"
monter,to climb,Je monte les escaliers pour rejoindre le bureau.
désolé,sorry,Je suis désolé de ne pas avoir répondu à ton message à temps.
quitter,to leave,Je quitte la maison à cinq heures.
police,police,La police surveille la circulation pour assurer la sécurité de tous.
suite,continuation,"Dans la suite de notre réunion, nous discuterons des prochaines étapes."
matin,morning,"Le matin, je prends le petit déjeuner."
emmener,to take,Je vous emmène au parc.
toucher,to touch,Je touche l'écran pour ouvrir l'application.
continuer,continue,Je continue à étudier le français tous les jours.
gros,big,Ce chien est gros.
enfin,finally,Il est enfin arrivé.
mari,husband,Mon mari aime cuisiner de bons repas.
là-bas,over there,Je vois un joli parc là-bas.
revoir,to see again,Je vais te revoir demain.
importer,to import,J'importe des produits électroniques en provenance d'Asie.
papa,Dad,Je vais voir mon papa ce soir.
puis,then,"Je prends mon café, puis je commence à travailler."
train,train,Je prends le train tous les matins pour aller au travail.
manquer,to miss,Je manque parfois de confiance lorsque je parle en public.
raconter,to tell,Je raconte une histoire captivante.
ensemble,together,Nous avons travaillé ensemble sur ce projet.
mauvais,bad,Ce film est mauvais.
film,film,Ce film raconte une histoire captivante.
répondre,to answer,Je réponds rapidement à ta question.
garçon,boy,Le garçon joue dans le parc avec ses amis.
corps,body,Le corps humain a besoin d'un exercice régulier pour rester en bonne santé.
celui,the one,C'est celui que je préfère.
autres,others,Les autres membres de l'équipe ont contribué au projet.
heureux,happy,Je suis heureux de vivre dans cette belle ville.
loin,far,J'habite loin de la ville.
sauver,to save,Je sauve souvent les enfants en danger.
chaque,each,"Chaque matin, je bois un café."
retourner,to return,Je retourne à la maison après le travail.
leurs,their,Leurs enfants jouent dans le parc.
rencontrer,meet,Je rencontre souvent de nouvelles personnes lors de mes voyages.
coeur,heart,J'ai senti mon cœur battre fort pendant le concert.
voler,to fly,Je vole vers Paris en avion chaque été.
fermer,to close,Je ferme la porte.
car,because,Je reste à la maison car il pleut.
valoir,to be worth,Vous valez plus que vous ne pensez.
descendre,to descend,Je descends les escaliers.
ok,okay,Je suis ok avec ce plan.
feu,fire,Le feu crépite doucement dans la cheminée.
docteur,doctor,Le docteur m'a expliqué le traitement à suivre.
suffire,to suffice,Je me suffis sans aide extérieure pour accomplir mes tâches quotidiennes.
façon,way,J'aime la façon dont tu expliques les choses.
nouveau,new,Je viens d'acheter un nouveau livre.
important,Important,Il est important de comprendre les enjeux du débat.
sembler,To seem,Je semble fatigué après le long voyage.
compter,to count,Je compte les étoiles dans le ciel.
vers,towards,Je me dirige vers l'université.
joli,pretty,Cette robe est très jolie.
point,point,Le point central de ma présentation était l'importance de l'écoute attentive.
hier,yesterday,"Hier, j'ai rencontré un vieil ami au café."
chien,dog,Le chien joue dans le jardin.
dont,whose,L'artiste dont je t'ai parlé vit à Paris.
guerre,war,La guerre a profondément marqué l'histoire de l'Europe.
genre,Kind,J'aime beaucoup ce genre de musique.
merde,shit,"Merde, j'ai raté le train ce matin."
meilleur,Best,C'est le meilleur restaurant de la ville.
marier,to marry,"Aujourd'hui, je marie Julie et Pierre."
arme,weapon,Le chevalier a brandi son arme en signe de victoire.
cause,cause,Je soutiens toujours une bonne cause.
endroit,place,Cet endroit est idéal pour une promenade en famille.
ordre,order,Le capitaine a donné l'ordre d'avancer.
poser,to put,Je pose la question.
reste,stay,Je reste à la maison ce soir.
pied,foot,J'ai mal au pied après cette longue marche.
envie,desire,J'ai envie d'aller au cinéma ce soir.
fin,end,La fin de ce film était surprenante.
tiens,hold,Je tiens ma tasse de café avec précaution.
inquiéter,to worry,Je m'inquiète de ne pas terminer mon projet à temps.
bouger,to move,Je bouge toujours quand j'écoute de la musique.
plutôt,rather,Je préfère lire un livre plutôt que de regarder la télévision.
apporter,to bring,J'apporte un cadeau pour l'anniversaire de mon ami.
pardon,Excuse me,"Pardon, je n'ai pas compris ce que vous avez dit."
photo,photo (photograph),J'ai pris une belle photo du coucher du soleil sur la plage.
plein,full,La bouteille est pleine d'eau.
devant,in front of,Je suis devant le musée.
décider,to decide,Je décide de changer mes plans pour demain.
ainsi,thus,"Ainsi, je me suis levé tôt pour aller au travail."
droit,law,Le droit assure la protection des citoyens dans une société démocratique.
aucune,none,Je n'ai aucune idée de ce que tu veux dire.
vendre,sell,Je vends ma voiture chaque été.
école,School,Je vais à l'école tous les jours.
cher,expensive,Ce manteau est trop cher pour moi.
chef,boss,Le chef a décidé de modifier l'horaire de travail de toute l'équipe.
tourner,to turn,Je tourne la clé dans la serrure.
cacher,to hide,Je cache le cadeau dans le placard.
boulot,job,Je prends le métro pour aller au boulot.
pays,country,La France est un beau pays.
ceux,those,Ceux qui m'ont accompagné lors de ce voyage resteront toujours dans mes souvenirs.
