être,to be,Je suis étudiant.
je,I,Je suis étudiant.
de,of,Je mange du pain.
ne,not,Je ne comprends pas.
avoir,to have,J'ai beaucoup de travail aujourd’hui.
pas,not,Je ne vais pas.
la,the,La voiture est rouge.
tu,you,Tu es mon ami.
le,the,Le chat est sur le tapis.
vous,you,Vous êtes mon ami.
il,he/she/it,Il est étudiant.
et,and,Je mange une pomme et une banane.
à,to,Je vais à la maison.
un,a,J'ai un livre.
aller,to go,Je vais au cinéma.
ça,that/it,Ça va bien.
faire,to do/make,Je dois faire mes devoirs.
les,the,Les enfants jouent dans le jardin.
on,on/in,Je suis à l'école.
l',The,Je suis étudiant.
une,a,J'ai une pomme.
d',of,J'aime le café d’hier.
pour,for/of,J'ai besoin de pain pour le sandwich.
des,some,J'ai des pommes.
dire,to say/tell,Il faut dire la vérité.
en,in/at,Je suis en France.
pouvoir,power,Je veux le pouvoir pour réussir.
qui,who,Qui est-ce ?
vouloir,to want,Je veux un croissant.
ce,this,Ce livre est intéressant.
mais,but,"Je suis fatigué, mais je vais continuer à travailler."
me,me,Je aime le chocolat.
nous,we,Nous allons au cinéma ce soir.
dans,in/within,Le livre est dans la boîte.
elle,she,Elle est étudiante.
savoir,to know,Je ne sais pas où il est.
du,of the,J'ai besoin de du pain.
y,he/she/it,Il va bien.
t',you,Tu es mon ami.
bien,well,"Je vais bien, merci."
voir,to see,Je vois le monde.
que,that/which,Je veux savoir que tu es content.
plus,more,"J'aimerais plus de café, s’il vous plaît."
non,no,Je ne comprends pas.
te,you,Je te aime.
mon,my,Mon chat est noir.
au,the,Je vais au cinéma.
avec,with,J'aime lire un livre avec mon chat.
moi,me,Je suis moi.
devoir,duty,Je dois faire mes devoirs.
oui,yes,"Oui, je suis d'accord avec toi."
ils,they,Ils sont arrivés en retard.
tout,all,J'aime tout ce qui est beau.
se,self,Je me suis blessé la nuit dernière.
venir,to come,Je vais venir au cinéma ce soir.
sur,on/upon,Le livre est sur la table.
toi,you,Tu es mon ami.
s',of,Je m'appelle Sophie.
ici,here,Je suis ici.
rien,nothing,Il n'y a rien dans le sac.
ma,my,Ma voiture est rouge.
comme,like,J'aime le chocolat comme tout le monde.
lui,him/her/to him/her,Il lui a donné un livre.
où,where,Où est-ce que tu habites ?
si,if,"Si tu viens, je serai content."
là,there,Le livre est là.
suivre,follow,Je dois suivre les instructions attentivement.
parler,to speak,Je parle français.
prendre,to take,Je vais prendre un café.
cette,this,Cette maison est très grande.
votre,your,Votre maison est très belle.
quand,when,"Quand il pleut, je reste à la maison."
alors,then/so,"Alors, nous allons au cinéma."
chose,thing,J'ai acheté une belle chose pour mon anniversaire.
par,by,J'ai été aidé par mon ami.
son,son,Le chat a trouvé son jouet.
ton,your,"Voici mon ton, il est doux et affectueux."
croire,to believe,Je crois en la magie.
aimer,to love,J'aime lire des romans.
falloir,It is necessary,Il faut partir tôt demain.
très,very,Je suis très content.
ou,and/or,Je vais au cinéma et je regarde un film.
quoi,what,Quoi est-ce que tu fais ?
bon,good,Il est bon.
passer,to pass,Je vais passer au supermarché.
penser,to think,Je pense à mon ami.
aussi,also,"J'aime le chocolat, et je veux aussi du café."
jamais,never,Je ne l'ai jamais vu.
attendre,to wait,Je dois attendre mon colis.
pourquoi,why,Pourquoi tu es si triste aujourd'hui ?
trouver,to find,J'essaie de trouver mes clés.
laisser,to leave,Je vais laisser mon livre sur la table.
sa,his/her/its,Le chat est assis sur le tapis.
ta,your,Tu es mon ami.
arriver,to arrive,Je vais arriver à l'heure.
ces,these,Ces livres sont intéressants.
donner,to give,Je vais donner un livre à mon ami.
regarder,to watch,Je regarde la télévision.
encore,again,"J'aimerais encore un croissant, s'il vous plaît."
appeler,to call,Je vais appeler mon ami.
