apercevoir,to glimpse,J'ai réussi à apercevoir un cerf dans la forêt.
offre,offer,Je vais faire une offre pour acheter cette maison.
frontière,border,La frontière entre les deux pays est fortement surveillée.
poids,weight,"Pour perdre du poids, il est important de combiner une alimentation saine avec de l'exercice régulier."
social,social,Les activités sociales sont importantes pour créer des liens dans la communauté.
couverture,blanket,J'ai besoin d'une couverture chaude pour l'hiver.
curieux,curious,L'enfant est très curieux et pose beaucoup de questions.
réserver,to reserve,Je vais réserver une table pour deux au restaurant ce soir.
univers,universe,L'univers est vaste et plein de mystères.
provoquer,to provoke,Son comportement a réussi à provoquer une réaction intense parmi les élèves.
durant,during,Il a étudié durant toute la nuit pour réussir son examen.
policier,policeman,Le policier a aidé à retrouver le voleur.
trembler,to tremble,"Quand il fait très froid, je commence à trembler."
embêter,to bother,Ne l'embête pas avec tes questions !
opinion,opinion,J'aimerais connaître ton opinion sur ce sujet.
confirmer,to confirm,Je dois confirmer ma présence à la réunion de demain.
passion,passion,Ma passion pour la musique me pousse à jouer du piano chaque jour.
puissance,power,La puissance du moteur est essentielle pour la performance de la voiture.
moteur,engine,Le moteur de ma voiture a besoin d'être réparé.
fortune,fortune,Elle a gagné une grande fortune à la loterie.
disque,disk,J'ai acheté un nouveau disque dur pour mon ordinateur.
hum,hum,"Quand je suis pensif, je fais souvent ""humm"" pour exprimer ma réflexion."
participer,participate,Je veux participer à la réunion demain.
cible,target,Le joueur a réussi à atteindre la cible avec son tir.
crétin,cretin,"Ne sois pas un crétin, réfléchis avant de parler."
aile,wing,L'oiseau déploie ses ailes pour voler.
lunette,glasses,Elle porte des lunettes pour mieux voir.
rare,rare,Ce livre est très rare et difficile à trouver.
essence,gasoline,J'ai besoin de faire le plein d'essence avant de partir en voyage.
décevoir,disappoint,J'ai peur de décevoir mes parents avec mes choix.
foutu,screwed / damned,Ce foutu projet ne se termine jamais à temps.
paradis,paradise,Cet endroit est un véritable paradis pour les amoureux de la nature.
réagir,react,Elle doit apprendre à réagir rapidement aux situations d'urgence.
hurler,to howl,Le loup a commencé à hurler à la pleine lune.
aéroport,airport,Je vais à l'aéroport pour prendre mon vol.
piège,trap,Le chasseur a placé un piège dans la forêt pour attraper des animaux.
pédé,"gay (slang, pejorative)","Il ne faut pas utiliser le mot ""pédé"" pour blesser les gens."
haine,hate,La haine ne résout jamais les problèmes.
enregistrer,to record,Je vais enregistrer notre conversation pour m’en souvenir.
vôtre,yours,"Ce livre est vôtre, je vous l'ai prêté."
coupe,cut,Elle a demandé une coupe de cheveux chez le coiffeur.
enfance,childhood,Mon enfance a été remplie de souvenirs heureux.
science,science,La science joue un rôle essentiel dans la compréhension du monde qui nous entoure.
autorité,authority,Le professeur a l'autorité nécessaire pour maintenir l'ordre dans la classe.
ballon,balloon,Les enfants ont décoré la fête avec des ballons colorés.
charge,charge,La charge du téléphone doit être vérifiée avant de partir.
parc,park,J'aime me promener dans le parc le dimanche.
zéro,zero,J'ai obtenu un zéro à mon examen de mathématiques.
épée,sword,Le chevalier brandit son épée avec courage.
limite,limit,Il est important de respecter la limite de vitesse sur la route.
échange,exchange,Nous avons organisé un échange d'idées lors de la réunion.
aise,ease,Elle se sent à l'aise dans cette nouvelle maison.
fixer,to fix,Je vais fixer le tableau au mur.
prière,prayer,Il a fait une prière avant le repas.
rivière,river,La rivière est pleine de poissons et de plantes aquatiques.
révéler,reveal,Le détective a réussi à révéler la vérité sur le mystère.
évident,obvious,Il est évident qu'il a besoin d'aide.
champagne,champagne,Nous avons célébré la nouvelle année avec du champagne.
vendredi,Friday,J'ai une réunion importante vendredi prochain.
suspect,suspect,Le vendeur a un comportement suspect qui me rend méfiant.
bouton,button,J'appuie sur le bouton pour commencer le jeu.
épaule,shoulder,Je me suis blessé à l'épaule en soulevant un poids.
cassette,cassette,J'ai trouvé une vieille cassette remplie de chansons des années 80.
déménager,to move (to a new place),Nous allons déménager dans une nouvelle maison le mois prochain.
admirer,to admire,J'admire les œuvres d'art au musée.
théorie,theory,La théorie de l'évolution est largement acceptée par la communauté scientifique.
style,style,J'aime le style de sa nouvelle robe.
émission,broadcast,"Hier soir, j'ai regardé une émission captivante sur la nature."
escalier,staircase,L'escalier en colimaçon de cette maison est vraiment impressionnant.
joue,cheek,Elle avait une rougeur sur la joue après être restée longtemps au soleil.
soupe,soup,J'aime manger une soupe chaude en hiver.
promesse,promise,Elle a fait une promesse de toujours être là pour lui.
serpent,snake,Le serpent s'est glissé doucement entre les rochers.
botte,boot,Je porte mes bottes en hiver pour rester au chaud.
également,also,"Il aime le chocolat, et il aime également les fraises."
mesure,measure,"Pour obtenir des résultats précis, il est important de prendre une mesure correcte."
conseiller,adviser,Mon professeur est un excellent conseiller pour mes choix de carrière.
tir,shot,Il a réussi un tir exceptionnel lors du match de football.
mise,setting,La mise en scène de ce film est vraiment impressionnante.
chèque,check,Je vais payer le loyer avec un chèque.
bataille,battle,La bataille a eu lieu sur le champ de bataille historique.
sucre,sugar,J'aime ajouter du sucre dans mon café.
accueillir,to welcome,Nous allons accueillir nos invités à la gare.
enseigner,to teach,Elle aime enseigner les mathématiques aux enfants.
plonger,to dive,Il aime plonger dans l'océan pendant ses vacances.
saison,season,L'été est ma saison préférée de l'année.
assistant,assistant,Mon assistant m'aide à organiser mon emploi du temps.
gardien,guardian,Le gardien du musée veille à la sécurité des œuvres d'art.
habituer,to accustom,Il est important d'habituer les enfants à lire chaque jour.
buter,to stumble or to trip,Il a buté sur une pierre en marchant dans le parc.
sombre,dark,La nuit était sombre et silencieuse.
soif,thirst,J'ai soif après avoir couru pendant une heure.
b,b,Le b est la deuxième lettre de l'alphabet.
enculé,asshole,"Ne fais pas attention à lui, c'est vraiment un enculé."
explication,explanation,J'ai besoin d'une explication pour mieux comprendre ce concept.
port,port,Le navire est arrivé au port ce matin.
célèbre,famous,Marie Curie est une scientifique célèbre pour ses découvertes sur la radioactivité.
mode,mode,Elle a choisi une mode de vie plus saine.
péter,to fart,Il a accidentellement pété pendant le cours et tout le monde a ri.
concert,concert,J'ai acheté des billets pour le concert de mon artiste préféré.
personnage,character,Le personnage principal de ce roman est très inspirant.
