beauté,beauty,La beauté de ce coucher de soleil me laisse sans voix.
laisse,let,Je laisse mes clés sur la table.
course,race,La course de 100 mètres a débuté à l'aube.
manière,manner,J'admire la manière dont vous présentez vos idées.
traverser,to cross,Je traverse la rue tous les matins.
expérience,experience,J'ai acquis une grande expérience dans ce domaine au fil des ans.
soin,care,Je prends soin de mes plantes chaque jour.
hors,outside,Je préfère vivre hors de la ville.
cour,courtyard,La cour de l'école est spacieuse et accueillante en été.
gauche,left,Je tourne à gauche à la prochaine intersection.
stupide,stupid,Ce comportement est vraiment stupide.
retenir,to retain,Je retiens toujours les conseils importants que j'ai reçus.
liste,list,Je consulte ma liste de courses avant de partir.
remonter,to go back up,Je remonte les escaliers pour accéder à mon bureau.
réaliser,to realize,Je réalise mes rêves avec persévérance.
i,i,La lettre i est la neuvième lettre de l'alphabet.
moquer,to mock,Je me moque de la façon dont il parle.
étudier,to study,J'étudie le français chaque jour.
installer,to install,J'installe une nouvelle application sur mon téléphone.
courage,courage,Elle a fait preuve d'un grand courage lors de l'examen.
bleu,blue,Le ciel est bleu.
secours,help,Les secours sont arrivés rapidement après l'accident.
milieu,middle,Le milieu de la forêt est plein de mystères.
proposer,to propose,Je propose de commencer la réunion maintenant.
m,m,La lettre m est la treizième lettre de l'alphabet.
contact,Contact,J'ai gardé le contact avec mes anciens collègues.
inspecteur,Inspector,L'inspecteur enquête sur le vol dans la galerie d'art.
mignon,cute,Ce chat est mignon.
projet,project,Le projet de rénovation a été approuvé par le conseil municipal.
probablement,probably,Je viendrai probablement à la réunion demain.
rôle,role,Ce rôle est essentiel pour le succès de l'équipe.
risque,risk,Il y a toujours un risque à investir dans de nouvelles technologies.
action,action,L'action de l'équipe a marqué la fin du match.
ange,angel,L'ange veille sur moi chaque soir.
avance,advance,J'avance rapidement dans mon projet.
intéressant,interesting,Ce film est très intéressant.
parmi,among,Elle a trouvé du réconfort parmi ses amis.
langue,language,La langue française est riche en expressions idiomatiques.
emporter,to take away,Je vais emporter un sandwich pour le déjeuner.
thé,Tea,Je bois du thé tous les matins.
laquelle,which one,Laquelle de ces chansons préfères-tu ?
colère,anger,Il a montré sa colère lorsqu'il a découvert la vérité.
départ,departure,Le départ du train a été retardé en raison de la neige.
époque,era,L'époque médiévale a laissé un héritage durable dans notre culture.
engager,to hire,J'engage un nouvel assistant pour renforcer notre équipe.
voleur,Thief,Le voleur a volé une montre dans la bijouterie.
cesser,to cease,Je cesse de parler quand le professeur arrive.
tort,wrong,Vous avez tort de penser que tout est simple.
vacance,vacation,"Pendant ma vacance, je me repose en lisant des romans."
là-haut,up there,Les étoiles brillent là-haut dans le ciel.
machine,machine,La machine dans le laboratoire est très performante.
signifier,to signify,Je signifie par ce sourire que j'accepte votre proposition.
réparer,to repair,Je répare mon ordinateur chaque samedi.
bête,stupid,Je pense qu'il est bête de ne pas écouter les conseils.
construire,to build,Je construis une maison.
pain,bread,J'ai acheté du pain frais à la boulangerie ce matin.
bar,bar,"Ce soir, je vais au bar avec mes amis."
chier,to shit,Je chie quand je mange trop de piments.
club,club,Le club de lecture se réunit chaque semaine pour discuter de livres.
été,been,J'ai été ravi de vous rencontrer la semaine dernière.
horrible,horrible,Ce film était vraiment horrible.
profiter,to take advantage of,Je profite du beau temps pour faire une promenade.
pierre,stone,J'ai trouvé une pierre lisse au bord de la rivière.
pleuvoir,to rain,Il pleut souvent en Bretagne.
plusieurs,several,J'ai rencontré plusieurs amis lors de ma dernière soirée.
salope,bitch,"Lors de la dispute, il m'a insultée en me traitant de salope."
tel,such,Je n'ai jamais vu un tel paysage.
glace,ice,Je mets de la glace dans mon verre.
présent,present,Le présent offre de nombreuses opportunités pour apprendre et grandir.
décision,decision,La décision finale a été acceptée par tous.
juge,judge,Le juge a rendu sa décision.
contrôle,control,Le contrôle de la qualité est essentiel pour assurer la fiabilité du produit.
séparer,to separate,Je sépare les documents importants des autres.
sept,seven,J'ai sept ans.
maladie,disease,La maladie a touché plusieurs membres de ma famille.
quartier,neighbourhood,Je vis dans un quartier animé.
désirer,to desire,Je désire explorer le monde.
travers,across,Je me suis heurté à une branche en travers du chemin.
dommage,Too bad,C'est dommage que tu ne puisses pas venir.
cigarette,cigarette,Je fume une cigarette après le déjeuner.
traîner,to hang around,Je traîne souvent au café avec mes amis après le travail.
respecter,to respect,Je respecte toujours mes enseignants.
époux,husband,Mon époux prépare le dîner ce soir.
tas,Heap,Il y a un tas de pierres près du jardin.
enfuir,to flee,Je m'enfuis dès que j'aperçois un danger.
diriger,to direct,Je dirige une équipe internationale pour le projet.
crever,to burst (colloquial: to die),Je crève de fatigue après cette longue journée.
fil,thread,J'ai utilisé un fil rouge pour réparer ma chemise.
combat,fight,Le combat pour la justice inspire beaucoup de monde.
poursuivre,to pursue,Je poursuis mes études avec passion.
morceau,piece,J'ai dégusté un délicieux morceau de fromage ce matin.
église,Church,Je vais à l'église tous les dimanches.
directeur,Director,Le directeur a organisé une réunion importante ce matin.
demande,request,Votre demande a été acceptée rapidement.
forcer,to force,Je force la porte pour entrer dans la maison.
bombe,bomb,La bombe a été découverte près de la gare ce matin.
j,j,La lettre j est la dixième lettre de l'alphabet français.
lequel,Which one?,Lequel de ces deux livres préférez-vous lire en premier ?
espoir,hope,L'espoir nous guide à travers les moments difficiles.
tueur,killer,Le tueur avait planifié son crime avec une minutie inquiétante.
grandir,to grow,Je grandis dans une famille qui m'encourage à être curieux.
