furieux,furious,Il est furieux contre la décision injuste.
digne,worthy,Je me sens digne de cette responsabilité.
saloperie,piece of crap,"""Cette saloperie ne fonctionne toujours pas."""
matériel,equipment,Le matériel informatique a été livré ce matin.
garage,garage,J'ai rangé mes outils dans le garage ce matin.
mandat,mandate,Le président a reçu un nouveau mandat pour mettre en œuvre ses réformes.
moto,motorcycle,J'aime faire des balades en moto pendant l'été.
sable,sand,Le sable chaud de la plage brille sous le soleil de midi.
figure,face,La figure de cette femme reflète sa détermination.
rapprocher,to bring closer,Je rapproche les deux concepts pour mieux les comprendre.
sacrer,to swear,Je sacre quand je suis vraiment en colère.
chute,fall,La chute des feuilles en automne est magnifique.
unir,unite,J'unis mes idées pour construire un avenir meilleur.
creuser,to dig,Je creuse un trou dans le jardin.
satisfaire,satisfy,Je satisfais toujours les attentes de mes clients.
pressé,rushed,Je suis pressé de terminer ce projet avant la réunion.
transmettre,transmit,Je transmets ce document important à mon collègue.
commun,common,Ce problème est commun à tous les étudiants.
attente,waiting,Je suis dans l'attente d'une réponse.
modèle,model,Ce modèle de voiture a remporté plusieurs prix.
donne,give,Je donne un livre à mon ami.
exécuter,execute,J'exécute le programme de sauvegarde tous les soirs.
gant,glove,J'ai mis mon gant avant de sortir par ce froid glacial.
élevé,raised,J'ai élevé mes enfants avec beaucoup d'amour.
accomplir,to accomplish,J'accomplis mes objectifs professionnels chaque jour.
décrocher,to answer (the phone),Je décroche le téléphone dès qu'il sonne.
fièvre,Fever,J'ai de la fièvre depuis ce matin.
révolution,revolution,La révolution industrielle a transformé la société.
prononcer,to pronounce,Je prononce chaque mot distinctement lors de mes présentations.
violent,violent,La tempête a été particulièrement violente.
existence,existence,Son existence a toujours intrigué les philosophes.
impressionner,to impress,Je cherche toujours à impressionner mes collègues lors des réunions.
particulier,particular,C'est une situation tout à fait particulière.
océan,ocean,L'océan Atlantique est très vaste.
méthode,method,J'aime la méthode que vous utilisez pour enseigner cette matière.
document,Document,Je consulte le document pour préparer mon exposé.
nier,to deny,Je nie toute implication dans cette affaire.
écarter,to push aside,J'écarte mes doutes avant de prendre une décision importante.
kilomètre,kilometer,J'ai parcouru 10 kilomètres en vélo ce matin.
nation,nation,La nation française célèbre son héritage chaque année.
guider,to guide,Je guide mes amis lors de notre visite au musée.
protection,protection,La protection de l'environnement est essentielle pour notre avenir.
manque,miss,Vous me manquez tellement.
musical,musical,Le spectacle musical de ce soir promet d'être inoubliable.
chinois,Chinese,J'aime la cuisine chinoise.
écoute,listen,J'écoute attentivement la radio chaque matin.
religion,religion,La religion joue un rôle important dans la vie de nombreuses personnes.
sauvage,wild,La forêt sauvage est pleine de mystères.
rose,pink,La robe rose de Sophie est très jolie.
précieux,Precious,Ce bijou est très précieux pour moi.
mouche,fly,La mouche a atterri sur la fenêtre.
avantage,advantage,Elle a un avantage certain grâce à ses compétences exceptionnelles.
boucler,to fasten,Je boucle ma ceinture de sécurité avant de conduire.
détective,Detective,La détective résout des énigmes complexes dans chaque affaire.
fidèle,faithful,Mon chien est fidèle à ses maîtres.
comporter,to behave,Je me comporte toujours de manière respectueuse en société.
panne,breakdown,La voiture est en panne sur l'autoroute.
songer,to think,Je songe à voyager autour du monde.
total,total,Je calcule le total de mes dépenses chaque mois.
ours,bear,"Dans la forêt, un ours se promène tranquillement."
écrivain,writer,L'écrivain a présenté son nouveau roman au salon du livre.
commission,Commission,La commission a approuvé la nouvelle proposition de loi.
remuer,to stir,Je remue doucement la sauce pour qu'elle ne brûle pas.
poussière,dust,Je remarque de la poussière sur le vieux meuble chaque matin.
pêche,Fishing,Je vais à la pêche avec mes amis ce week-end.
mai,May,"En mai, le temps est parfait pour une balade en nature."
clef,key,J'ai laissé ma clef sur la table.
échec,failure,Je n'accepte jamais l'échec dans mes efforts pour réussir.
balader,to stroll,Je me balade dans le parc ensoleillé.
témoigner,to testify,Je témoigne de mon expérience lors de l'audience.
gratuit,free,Ce service est gratuit pour tous.
soulever,to lift,Je soulève la boîte.
inconnu,unknown,Ce lieu inconnu recèle de nombreux mystères.
ticket,ticket,J'ai acheté un ticket de métro pour me rendre au centre-ville.
forcément,necessarily,Il faut forcément prendre des précautions avant d'agir.
céder,yield,Je cède toujours la place aux personnes âgées dans le bus.
hélas,alas,"Hélas, le train est parti sans moi."
foot,soccer,Je joue au foot avec mes amis chaque week-end.
barbe,Beard,Il porte une barbe dense et bien entretenue.
mortel,mortal,"Le héros est mortel, mais il continue de se battre contre l'injustice."
exprès,on purpose,Je l'ai fait exprès.
priver,to deprive,Je prive mes enfants de trop de sucreries pour leur santé.
élément,element,L'élément central de cette théorie est son approche innovante.
renverser,to knock over,J'ai renversé mon verre de jus ce matin.
entourer,to surround,Je m'entoure de personnes qui me soutiennent.
courrier,mail,Je reçois du courrier tous les jours.
virus,virus,Le virus se propage rapidement dans la communauté.
sud,south,Le sud de la France est réputé pour son climat ensoleillé.
bagnole,car,J'ai garé ma bagnole devant le café ce matin.
ouvrier,worker,L'ouvrier travaille dur pour terminer le chantier à temps.
concours,competition,Je participe à un concours de cuisine.
führer,Leader,Le führer a dirigé la troupe avec détermination.
canard,duck,Le canard nage dans l'étang.
cérémonie,ceremony,La cérémonie de remise des diplômes a été très émouvante.
chouette,cool,Je trouve cette exposition vraiment chouette.
annonce,announcement,J'ai vu une annonce intéressante dans le journal.
roman,novel,J'ai lu un roman captivant hier soir.
écran,screen,Je regarde un film sur l'écran de mon ordinateur.
mardi,Tuesday,Nous irons au cinéma mardi.
correspondre,to correspond,Vous correspondez parfaitement aux attentes de l'équipe.
imposer,to impose,Je m'impose des règles strictes pour rester concentré au travail.
