site,site,J'ai visité le site historique hier.
élection,election,L'élection aura lieu le mois prochain.
douloureux,painful,Je trouve ce souvenir douloureux.
cigare,Cigar,Il a allumé un cigare après le repas.
orage,storm,L'orage a surpris tout le village hier soir.
tire,shoots,Je tire une flèche avec mon arc.
canal,canal,Le canal traverse la ville en serpentant entre les bâtiments historiques.
réalisateur,director,Le réalisateur a présenté son dernier film au festival de Cannes.
scientifique,scientist,Je suis un scientifique passionné par la recherche en biotechnologie.
veille,to watch over,Je veille à ce que tout se passe bien pendant la nuit.
vodka,vodka,J'aime déguster de la vodka avec des glaçons lors des soirées d'été.
noce,wedding,La noce de ma cousine a eu lieu l'été dernier.
câble,cable,Le câble de mon ordinateur est bien organisé.
linge,laundry,Je fais le linge tous les samedis matin.
guère,hardly,Je ne mange guère de viande.
peintre,painter,Le peintre expose ses œuvres dans la galerie.
matière,material,Je préfère travailler avec cette matière car elle est écologique.
rocher,rock,Le rocher se détache nettement sur le paysage marin.
économie,economy,L'économie mondiale connaît des changements rapides en raison de la mondialisation.
atelier,workshop,L'atelier de couture est bien organisé et plein de tissus colorés.
instinct,instinct,J'ai suivi mon instinct pour faire le bon choix.
major,major,Le major de l'équipe a pris la parole lors de la cérémonie.
peste,plague,La peste noire a ravagé l'Europe au Moyen Âge.
collection,collection,J'ai une collection de timbres rares.
automne,Autumn,J'apprécie l'automne pour ses couleurs chaudes et apaisantes.
pencher,to lean,Je penche la tête pour mieux voir le tableau.
personnalité,personality,La personnalité de cette artiste est aussi captivante que son art.
féminin,Feminine,"""La robe a un style féminin qui lui va très bien."""
douceur,Sweetness,J'apprécie la douceur du chocolat.
massacrer,to massacre,Je massacre toujours mes plats quand je cuisine.
échantillon,sample,Le scientifique a examiné l'échantillon de la nouvelle substance.
recommander,to recommend,Je recommande vivement ce restaurant pour son ambiance exceptionnelle.
défoncer,to smash,Je défonce la porte pour sortir de la pièce.
rond,round,J'ai dessiné un cercle rond sur le tableau.
vendeur,seller,Le vendeur m'a aidé à choisir le produit parfait pour mes besoins.
couvent,Convent,Le couvent offre un refuge paisible aux personnes en quête de tranquillité.
